School Number,School Name,LA Code,Local Authority,Sector,Governance - see notes,WM Code,Welsh Medium Type - see notes,School Type,Religious Character,Address 1,Address 2,Address 3,Address 4,Postcode,Phone Number,Pupils - see notes,fsm_3yr_pct,pupil_teacher_ratio,attendance_pct,school_budget_per_pupil,capped9_points,literacy_points,numeracy_points,science_points,welsh_bacc_points,estyn_report_url
6702174,PENLLERGAER PRIMARY SCHOOL,670.0,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Pontardulais Road,Penllergaer,Swansea,,SA4 9DB,01792892354,359.0,8.2,24.8,92.3,4875.0,,,,,,http://www.estyn.gov.wales/provider/6702174
6702176,PENYRHEOL PRIMARY SCHOOL,670.0,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Frampton Road,Gorseinon,Swansea,,SA4 4YG,01792892337,211.0,31.6,22.5,90.8,5036.0,,,,,,http://www.estyn.gov.wales/provider/6702176
6702186,PONTARDDULAIS PRIMARY SCHOOL,670.0,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Upper James Street,Pontarddulais,Swansea,,SA4 8JD,01792882383,410.0,26.5,25.1,88.8,4197.0,,,,,,http://www.estyn.gov.wales/provider/6702186
6702189,Y.G.G. BRYNIAGO,670.0,Swansea,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Lower James Street,Pontarddulais,Swansea,,SA4 8JA,01792 882012,190.0,10.3,21.6,93.7,4856.0,,,,,,http://www.estyn.gov.wales/provider/6702189
6702192,PONTLLIW PRIMARY,670.0,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Clordir Road,Pontlliw,Pontarddulais,,SA4 9FA,01792882553,219.0,10.5,24.6,93.2,4668.0,,,,,,http://www.estyn.gov.wales/provider/6702192
6702211,TRE UCHAF PRIMARY SCHOOL,670.0,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Heol Cae Ty Newydd,Loughor,Swansea,,SA4 6QB,01792893682,207.0,23.0,17.3,91.6,6294.0,,,,,,http://www.estyn.gov.wales/provider/6702211
6702212,Y.G.G. PONTYBRENIN,670.0,Swansea,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Loughor Road,Gorseinon,Swansea,,SA4 6AU,01792894210,570.0,6.9,23.5,93.3,3764.0,,,,,,http://www.estyn.gov.wales/provider/6702212
6702215,CRAIGFELEN PRIMARY SCHOOL,670.0,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Woodside Crescent,Clydach,Swansea,,SA6 5DP,01792843278,193.0,49.2,20.7,89.0,5374.0,,,,,,http://www.estyn.gov.wales/provider/6702215
6702216,PENNARD PRIMARY,670.0,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Pennard Road,Pennard,Swansea,,SA3 2AD,01792233343,178.0,5.2,26.8,93.3,4999.0,,,,,,http://www.estyn.gov.wales/provider/6702216
6702217,KNELSTON PRIMARY,670.0,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Reynoldston,Gower,Swansea,,SA3 1AR,01792390071,92.0,7.5,17.3,94.2,5233.0,,,,,,http://www.estyn.gov.wales/provider/6702217
6702219,PEN-Y-FRO,670.0,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Priors Crescent,Dunvant,Swansea,,SA2 7UF,01792203728,196.0,7.8,19.4,92.5,4679.0,,,,,,http://www.estyn.gov.wales/provider/6702219
6702223,PONTYBRENIN PRIMARY SCHOOL,670.0,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Glyn Rhosyn,Gorseinon,Swansea,,SA4 6HX,01792891151,332.0,9.7,23.5,92.7,4125.0,,,,,,http://www.estyn.gov.wales/provider/6702223
6702225,TALYCOPA PRIMARY SCHOOL,670.0,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Heol Hafdy,Llansamlet,Swansea,,SA7 9RZ,01792793660,213.0,18.9,24.3,92.2,4632.0,,,,,,http://www.estyn.gov.wales/provider/6702225
6702226,GLYNCOLLEN PRIMARY SCHOOL,670.0,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Heol Dolfain,Ynysforgan,Swansea,,SA6 6QF,01792791727,191.0,9.9,24.4,92.8,4875.0,,,,,,http://www.estyn.gov.wales/provider/6702226
6702229,YSGOL GYMRAEG Y LOGIN FACH,670.0,Swansea,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Roseland Road,Waunarlwydd,Abertawe,,SA5 4ST,01792874399,224.0,11.7,20.2,91.8,4426.0,,,,,,http://www.estyn.gov.wales/provider/6702229
6702231,Y.G.G. TIRDEUNAW,670.0,Swansea,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Heol Ddu,Treboeth,Abertawe,,SA5 7HW,01792774612,373.0,25.8,21.4,91.6,4453.0,,,,,,http://www.estyn.gov.wales/provider/6702231
6702232,Y.G.G. Gellionnen,670.0,Swansea,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Gellionnen Road,Clydach,Swansea,,SA6 5HE,01792845489,202.0,15.4,23.6,91.0,4807.0,,,,,,http://www.estyn.gov.wales/provider/6702232
6702233,GORS COMMUNITY SCHOOL,670.0,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Gors Avenue,Cockett,Swansea,,SA1 6SF,01792522202,322.0,48.1,22.8,88.0,4889.0,,,,,,http://www.estyn.gov.wales/provider/6702233
6702234,SEA VIEW PRIMARY SCHOOL,670.0,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Creidiol Road,Mayhill,Swansea,,SA1 6TZ,01792650703,235.0,63.4,23.1,92.3,5311.0,,,,,,http://www.estyn.gov.wales/provider/6702234
6702235,Y.G.G. Llwynderw,670.0,Swansea,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,West Cross Lane,West Cross,Swansea,,SA3 5LS,01792407130,334.0,3.4,22.0,93.5,4115.0,,,,,,http://www.estyn.gov.wales/provider/6702235
6702236,Birchgrove Primary,670.0,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Heol Nant Bran,Birchgrove,Swansea,,SA7 9LH,01792814814,435.0,22.5,23.8,91.3,4111.0,,,,,,http://www.estyn.gov.wales/provider/6702236
6702237,DUNVANT Primary SCHOOL,670.0,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Dunvant Road,Dunvant,Swansea,,SA2 7SN,01792207336,347.0,7.9,15.2,93.4,4791.0,,,,,,http://www.estyn.gov.wales/provider/6702237
6702238,GWYROSYDD PRIMARY SCHOOL,670.0,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Park Hill Terrace,Treboeth,Swansea,,SA5 7DN,01792797117,411.0,41.9,27.2,88.3,5321.0,,,,,,http://www.estyn.gov.wales/provider/6702238
6702239,St Thomas Community Primary School,670.0,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Grenfell Park Road,St Thomas,Swansea,,SA1 8EZ,01792 650052,444.0,34.0,26.7,90.8,4423.0,,,,,,http://www.estyn.gov.wales/provider/6702239
6702240,GOWERTON PRIMARY SCHOOL,670.0,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Mount Street,Gowerton,Swansea,,SA4 3GE,01792872439,361.0,11.5,26.6,91.9,4187.0,,,,,,http://www.estyn.gov.wales/provider/6702240
6702241,Pentre'r Graig Primary School,670.0,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,School Road,Morriston,Swansea,,SA6 6HY,01792771831,304.0,32.4,26.1,91.9,4476.0,,,,,,http://www.estyn.gov.wales/provider/6702241
6702242,YGG TANYLAN,670.0,Swansea,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Tan-y-lan Terrace,Morriston,Swansea,,SA6 7DU,01792772800,212.0,18.2,21.6,92.9,4914.0,,,,,,http://www.estyn.gov.wales/provider/6702242
6702243,Burlais Primary School,670.0,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Gerddi Alexander,Cwmbwrla,Swansea,,SA5 8BN,01792652350,481.0,34.8,23.8,90.6,5012.0,,,,,,http://www.estyn.gov.wales/provider/6702243
6702244,Clydach Primary School,670.0,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Sybil Street,Clydach,Swansea,,SA6 5EU,01792843356,176.0,23.3,27.5,90.0,5280.0,,,,,,http://www.estyn.gov.wales/provider/6702244
6702245,Ysgol Gymraeg Y Cwm,670.0,Swansea,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Jersey Road,Bonymaen,Swansea,,SA1 7DL,01792650326,127.0,17.0,16.7,92.0,5691.0,,,,,,http://www.estyn.gov.wales/provider/6702245
6702246,Gorseinon Primary School,670.0,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,High Street,Gorseinon,Swansea,,SA4 4BN,01792987089,296.0,31.8,20.0,89.9,4641.0,,,,,,http://www.estyn.gov.wales/provider/6702246
6702247,Brynhyfryd Primary School,670.0,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Llangyfelach Road,Brynhyfryd,Swansea,,SA5 9LN,01792483870,478.0,28.4,26.0,91.8,4217.0,,,,,,http://www.estyn.gov.wales/provider/6702247
6703303,ST. DAVID'S RC PRIMARY SCHOOL,670.0,Swansea,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Roman Catholic,West Cross Avenue,West Cross,Swansea,,SA3 5TS,01792512212,201.0,5.1,21.6,94.8,4602.0,,,,,,http://www.estyn.gov.wales/provider/6703303
6703305,ST ILLTYDS PRIMARY,670.0,Swansea,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Roman Catholic,Jersey Road,Bonymaen,Swansea,,SA1 7DG,01792462104,205.0,29.0,21.4,92.2,4741.0,,,,,,http://www.estyn.gov.wales/provider/6703305
6703306,CHRISTCHURCH CHURCH IN WALES,670.0,Swansea,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,Rodney Street,Swansea,,,SA1 3UA,01792510900,169.0,24.0,20.8,93.9,4982.0,,,,,,http://www.estyn.gov.wales/provider/6703306
6703308,ST JOSEPH'S R.C. PRIMARY,670.0,Swansea,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Roman Catholic,Pontardawe Road,Clydach,Swansea,,SA6 5NX,01792842494,223.0,9.3,22.5,92.2,4391.0,,,,,,http://www.estyn.gov.wales/provider/6703308
6703309,St Josephs Cathedral Primary School,670.0,Swansea,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Roman Catholic,Caepistyll Street,Greenhill,Swansea,,SA1 2BE,01792653609,505.0,21.6,29.0,93.2,4129.0,,,,,,http://www.estyn.gov.wales/provider/6703309
6704031,Cefn Hengoed,670.0,Swansea,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,Caldicot Road,Winch Wen,Swansea,,SA1 7HX,01792773464,906.0,34.6,17.7,90.2,5984.0,381.6,36.6,36.1,37.4,42.7,http://www.estyn.gov.wales/provider/6704031
6704032,OLCHFA SCHOOL,670.0,Swansea,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,Gower Road,Sketty,Swansea,,SA2 7AB,01792534300,1840.0,10.9,19.0,90.8,5269.0,411.4,46.0,45.6,46.1,44.2,http://www.estyn.gov.wales/provider/6704032
6704033,MORRISTON COMPREHENSIVE,670.0,Swansea,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,Heol Maes Eglwys,Morriston,Swansea,,SA6 6NH,01792797745,1086.0,27.9,19.3,87.4,5920.0,341.9,34.8,30.9,31.8,36.0,http://www.estyn.gov.wales/provider/6704033
6704043,PENTREHAFOD SCHOOL,670.0,Swansea,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,Pentremawr Road,Hafod,Swansea,,SA1 2NN,01792410400,1120.0,33.8,16.5,86.6,5885.0,335.4,37.1,35.7,31.5,32.6,http://www.estyn.gov.wales/provider/6704043
6704044,BISHOP GORE SCHOOL,670.0,Swansea,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,De-La-Beche Road,Sketty,Swansea,,SA2 9AP,01792411400,1312.0,27.7,15.6,88.0,5756.0,375.9,38.8,36.2,36.2,43.2,http://www.estyn.gov.wales/provider/6704044
6704062,Penyrheol Comprehensive School,670.0,Swansea,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,Pontarddulais Road,Gorseinon,Swansea,,SA4 4FG,01792533066,877.0,21.5,16.9,85.6,6101.0,330.3,37.5,34.0,36.8,38.0,http://www.estyn.gov.wales/provider/6704062
6704063,Gowerton Comprehensive School,670.0,Swansea,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,Cecil Road,Gowerton,Swansea,,SA4 3DL,01792873461,1145.0,17.9,18.8,88.4,5674.0,391.1,42.3,41.0,40.0,42.2,http://www.estyn.gov.wales/provider/6704063
6704069,BISHOPSTON COMPREHENSIVE,670.0,Swansea,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,The Glebe,Bishopston,Swansea,,SA3 3JP,01792 234121,1118.0,5.5,18.3,91.3,5527.0,426.1,47.2,47.3,47.7,43.9,http://www.estyn.gov.wales/provider/6704069
6704072,Pontarddulais Comprehensive School,670.0,Swansea,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,Caecerrig Road,Pontarddulais,Swansea,,SA4 8PD,01792884556,859.0,15.5,17.6,93.0,5767.0,398.4,41.3,41.6,41.4,45.4,http://www.estyn.gov.wales/provider/6704072
6704074,Ysgol Gyfun Gwyr,670.0,Swansea,Secondary,Community,WM,Welsh medium,Secondary (ages 11-19),---,Talbot Street,Tregwyr,Abertawe,,SA4 3DD,01792872403,1156.0,7.3,18.1,91.1,5434.0,366.5,43.9,38.5,40.1,36.1,http://www.estyn.gov.wales/provider/6704074
6704075,BIRCHGROVE,670.0,Swansea,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,Birchgrove Road,Birchgrove,Swansea,,SA7 9NB,01792535400,682.0,28.5,18.5,86.0,6647.0,352.8,35.3,30.9,30.0,29.0,http://www.estyn.gov.wales/provider/6704075
6704076,Dylan Thomas Community School,670.0,Swansea,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,John Street,Cockett,Swansea,,SA2 0FR,01792610300,687.0,51.4,16.3,86.3,6882.0,297.0,28.7,24.8,24.5,25.3,http://www.estyn.gov.wales/provider/6704076
6704078,Ysgol Gyfun Gymraeg Bryn Tawe,670.0,Swansea,Secondary,Community,WM,Welsh medium,Secondary (ages 11-19),---,Heol Gywrosydd,Penlan,Swansea,,SA5 7BU,01792560600,922.0,13.4,16.4,89.1,5730.0,350.7,43.1,34.1,34.0,39.5,http://www.estyn.gov.wales/provider/6704078
6704600,Bishop Vaughan School,670.0,Swansea,Secondary,Voluntary aided,EM,English medium,Secondary (ages 11-19),Roman Catholic,Mynydd Garnlwyd Road,Morriston,Swansea,,SA6 7QG,01792772006,1190.0,24.0,19.8,88.5,5294.0,382.8,40.5,40.2,39.6,,http://www.estyn.gov.wales/provider/6704600
6707000,Ysgol Pen-Y-Bryn,670.0,Swansea,Special,Not Applicable,0 ,Not available,Special (with post-16 provision),---,Glasbury Road,Morriston,Swansea,,SA6 7PA,01792799064,174.0,25252.0,,,,,,,,,http://www.estyn.gov.wales/provider/6707000
6707008,Ysgol Crug Glas,670.0,Swansea,Special,Not Applicable,0 ,Not available,Special (with post-16 provision),---,Croft Street,Swansea,,,SA1 1QA,01792652388,56.0,38542.0,,,,,,,,,http://www.estyn.gov.wales/provider/6707008
6712100,Alltwen Primary School,671.0,Neath Port Talbot,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Alltwen Hill,Alltwen,Pontardawe,Swansea,SA8 3AB,01792863275,230.0,15.4,21.4,93.2,4436.0,,,,,,http://www.estyn.gov.wales/provider/6712100
6712101,Blaendulais Primary School,671.0,Neath Port Talbot,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Seven Sisters,Neath,,,SA10 9AA,01639700261,110.0,52.3,14.8,89.2,7375.0,,,,,,http://www.estyn.gov.wales/provider/6712101
6712106,Blaengwrach Primary School,671.0,Neath Port Talbot,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Heol Wenallt,Cwmgwrach,Neath,,SA11 5PP,01639720342,141.0,22.7,21.4,92.2,4547.0,,,,,,http://www.estyn.gov.wales/provider/6712106
6712110,Blaenhonddan Primary School,671.0,Neath Port Talbot,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Main Road,Bryncoch,Neath,,SA10 7PE,01639644366,257.0,6.4,25.0,93.6,4745.0,,,,,,http://www.estyn.gov.wales/provider/6712110
6712119,Baglan Primary School,671.0,Neath Port Talbot,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Elmwood Road,Baglan,Port Talbot,,SA12 8TF,01639813112,261.0,20.5,23.9,91.3,4349.0,,,,,,http://www.estyn.gov.wales/provider/6712119
6712128,YGG Cwmllynfell,671.0,Neath Port Talbot,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Heol Y Bryn,Cwmllynfell,Swansea,,SA9 2FJ,01639830630,56.0,14.2,17.0,92.7,6318.0,,,,,,http://www.estyn.gov.wales/provider/6712128
6712129,Creunant Primary School,671.0,Neath Port Talbot,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,School Road,Crynant,Neath,,SA10 8NS,01639750224,127.0,17.0,23.3,92.4,4567.0,,,,,,http://www.estyn.gov.wales/provider/6712129
6712134,Crymlyn Primary School,671.0,Neath Port Talbot,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,School Road,Jersey Marine,Neath,,SA10 6JJ,01792812285,127.0,21.1,19.8,91.0,4652.0,,,,,,http://www.estyn.gov.wales/provider/6712134
6712137,Cwmnedd Primary School,671.0,Neath Port Talbot,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,New Street,Glynneath,Neath,,SA11 5AA,01639720220,180.0,45.8,16.5,88.8,4645.0,,,,,,http://www.estyn.gov.wales/provider/6712137
6712138,Cymer Afan Primary School,671.0,Neath Port Talbot,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Margam Street,Cymmer,Port Talbot,,SA13 3EE,01639850739,99.0,37.8,16.2,91.1,5134.0,,,,,,http://www.estyn.gov.wales/provider/6712138
6712140,Godre'rgraig Primary School,671.0,Neath Port Talbot,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Graig Road,Godre'rgraig,Swansea,,SA9 2NY,01792860048,114.0,28.8,21.0,91.5,5316.0,,,,,,http://www.estyn.gov.wales/provider/6712140
6712142,Eastern Primary School,671.0,Neath Port Talbot,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Incline Row,Taibach,Port Talbot,,SA13 1TT,01639882819,156.0,51.9,24.8,89.5,5115.0,,,,,,http://www.estyn.gov.wales/provider/6712142
6712144,Gnoll Primary School,671.0,Neath Port Talbot,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Wellfield Avenue,Neath,,,SA11 1AQ,01639642938,349.0,39.3,22.1,89.3,5345.0,,,,,,http://www.estyn.gov.wales/provider/6712144
6712148,Glyncorrwg Primary School,671.0,Neath Port Talbot,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Bridge Street,Glyncorrwg,Port Talbot,,SA13 3BB,01639850323,100.0,37.8,24.8,91.5,5389.0,,,,,,http://www.estyn.gov.wales/provider/6712148
6712149,YGG Gwaun Cae Gurwen,671.0,Neath Port Talbot,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,New Road,Gwaun Cae Gurwen,Ammanford,,SA18 1UN,01269822238,183.0,30.9,22.8,90.3,4423.0,,,,,,http://www.estyn.gov.wales/provider/6712149
6712150,Catwg Primary School,671.0,Neath Port Talbot,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Main Road,Cadoxton,Neath,,SA10 8BL,01639642731,199.0,16.8,16.3,92.4,5359.0,,,,,,http://www.estyn.gov.wales/provider/6712150
6712155,Maesmarchog Community Primary School,671.0,Neath Port Talbot,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,School Road,Dyffryn Cellwen,Neath,,SA10 9LB,01639700228,92.0,34.6,12.9,87.7,8885.0,,,,,,http://www.estyn.gov.wales/provider/6712155
6712158,YGG Rhosafan,671.0,Neath Port Talbot,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Marine Drive,Sandfields,Port Talbot,,SA12 7NN,01639896338,384.0,20.7,21.5,92.1,3893.0,,,,,,http://www.estyn.gov.wales/provider/6712158
6712161,Sandfields Primary School,671.0,Neath Port Talbot,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Lilian Street,Aberavon,Port Talbot,,SA12 6AJ,01639882355,256.0,66.3,19.2,87.9,4782.0,,,,,,http://www.estyn.gov.wales/provider/6712161
6712168,YGG Castell-nedd,671.0,Neath Port Talbot,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Heol Woodland,Castell-Nedd,,,SA11 3AL,01639637701,404.0,12.3,23.4,92.7,3787.0,,,,,,http://www.estyn.gov.wales/provider/6712168
6712173,Croeserw Primary School,671.0,Neath Port Talbot,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Bryn Siriol,Cymmer,Port Talbot,,SA13 3PL,01639850265,143.0,67.4,14.3,87.8,6677.0,,,,,,http://www.estyn.gov.wales/provider/6712173
6712175,Tywyn Primary School,671.0,Neath Port Talbot,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Channel View,Sandfields,Port Talbot,,SA12 6JF,01639790883,444.0,40.5,16.1,89.3,6463.0,,,,,,http://www.estyn.gov.wales/provider/6712175
6712178,Llangiwg Primary School,671.0,Neath Port Talbot,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,New Road,Ynysmeudwy,Pontardawe,Swansea,SA8 4PJ,01792863274,103.0,34.6,24.6,92.3,5286.0,,,,,,http://www.estyn.gov.wales/provider/6712178
6712181,Tonnau Primary Community School,671.0,Neath Port Talbot,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,School Road,Tonna,Neath,,SA11 3EJ,01639637062,211.0,22.3,24.7,91.3,4399.0,,,,,,http://www.estyn.gov.wales/provider/6712181
6712187,Ynysfach Primary School,671.0,Neath Port Talbot,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Resolven,Neath,,,SA11 4AB,01639710238,157.0,26.9,22.6,90.1,4657.0,,,,,,http://www.estyn.gov.wales/provider/6712187
6712191,Blaenbaglan Primary School,671.0,Neath Port Talbot,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Maes-Ty-Canol,Baglan,Port Talbot,,SA12 8YF,01639769775,290.0,13.9,21.2,92.8,5073.0,,,,,,http://www.estyn.gov.wales/provider/6712191
6712200,Rhos Primary School,671.0,Neath Port Talbot,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Neath Road,Rhos,Swansea,,SA8 3EB,01792862177,148.0,12.3,21.4,93.1,4719.0,,,,,,http://www.estyn.gov.wales/provider/6712200
6712202,YGG Blaendulais,671.0,Neath Port Talbot,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Blaendulais,Castell Nedd,,,SA10 9AA,01639700342,99.0,9.6,21.4,92.5,5142.0,,,,,,http://www.estyn.gov.wales/provider/6712202
6712203,Rhydyfro Primary School,671.0,Neath Port Talbot,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Waun Penlan,Pontardawe,Swansea,,SA8 3BB,01792862200,154.0,42.5,20.6,90.3,4906.0,,,,,,http://www.estyn.gov.wales/provider/6712203
6712205,YGG Cwm Nedd,671.0,Neath Port Talbot,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,New Street,Glynneath,Neath,,SA11 5AA,01639720530,129.0,20.1,23.6,92.5,4651.0,,,,,,http://www.estyn.gov.wales/provider/6712205
6712206,Tairgwaith Primary School,671.0,Neath Port Talbot,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Llwyncelyn Road,Tairgwaith,Ammanford,,SA18 1UU,01269823258,97.0,29.6,20.3,91.8,5989.0,,,,,,http://www.estyn.gov.wales/provider/6712206
6712208,YGG Trebannws,671.0,Neath Port Talbot,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Swansea Road,Trebannws,Swansea,,SA8 4BL,01792864004,90.0,20.8,16.1,89.7,6501.0,,,,,,http://www.estyn.gov.wales/provider/6712208
6712218,YGG Pontardawe,671.0,Neath Port Talbot,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Alltacham Drive,Pontardawe,Abertawe,,SA8 4JR,01792862136,330.0,17.0,22.8,92.3,4028.0,,,,,,http://www.estyn.gov.wales/provider/6712218
6712221,Waunceirch Primary School,671.0,Neath Port Talbot,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Dwr Y Felin Road,Waunceirch,Neath,,SA10 7RW,01639636084,179.0,41.4,16.7,91.2,6503.0,,,,,,http://www.estyn.gov.wales/provider/6712221
6712230,Cilffriw Primary School,671.0,Neath Port Talbot,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Main Road,Cilfrew,Neath,,SA10 8LF,01639630816,168.0,23.7,20.1,90.2,5943.0,,,,,,http://www.estyn.gov.wales/provider/6712230
6712231,YGG Tyle'r Ynn,671.0,Neath Port Talbot,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Llansawel Crescent,Briton Ferry,Castell Nedd,,SA11 2UN,01639812229,272.0,24.9,22.5,93.1,4230.0,,,,,,http://www.estyn.gov.wales/provider/6712231
6712232,Coed Hirwaun Primary School,671.0,Neath Port Talbot,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Cwrt y Carw,Margam,Port Talbot,,SA13 2TS,01656747830,174.0,14.6,23.1,90.5,4573.0,,,,,,http://www.estyn.gov.wales/provider/6712232
6712233,Coedffranc Primary School,671.0,Neath Port Talbot,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Stanley Road,Skewen,Neath,,SA10 6LP,01792813504,390.0,31.0,20.6,90.3,4752.0,,,,,,http://www.estyn.gov.wales/provider/6712233
6712234,Pen Afan Primary School,671.0,Neath Port Talbot,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Western Terrace,Blaengwynfi,Port Talbot,,SA13 3YE,01639850316,99.0,45.4,16.3,88.6,5555.0,,,,,,http://www.estyn.gov.wales/provider/6712234
6712235,Awel Y Mor Primary School,671.0,Neath Port Talbot,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Ffordd yr Ysgol,Sandfields,Port Talbot,,SA12 6TP,01639875100,333.0,60.3,19.1,89.9,5446.0,,,,,,http://www.estyn.gov.wales/provider/6712235
6712236,Crynallt Primary School,671.0,Neath Port Talbot,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Afan Valley Road,Cimla,Neath,,SA11 3AZ,01639635256,406.0,30.7,21.6,91.0,5039.0,,,,,,http://www.estyn.gov.wales/provider/6712236
6712237,Cwmafan Primary School,671.0,Neath Port Talbot,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Ty'r Owen Row,Cwmavon,Port Talbot,,SA12 9BB,01639869312,405.0,33.3,24.0,90.4,4261.0,,,,,,http://www.estyn.gov.wales/provider/6712237
6712238,Central Primary School,671.0,Neath Port Talbot,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Theodore Road,Port Talbot,,,SA13 1SF,01639882866,444.0,25.4,25.8,90.5,4289.0,,,,,,http://www.estyn.gov.wales/provider/6712238
